微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IBIUlFurT,缅怀同胞，共悼逝者，致敬英雄  原图 ,http://wx3.sinaimg.cn/large/5033b6dbly1gdhfrvjo24j20u01hcn7q.jpg,无,无,2020-04-04 08:41,无,29312,9395,9046
IAojWuEIm,这是我和@新浪新闻 想对你说的话，你听听是什么？ 带话题#2020我想说#发微博，说在2020年你最想完成的心愿，让我们一起努力去完成还未实现的心愿。 佟丽娅的微博视频  ,无,"http://f.video.weibocdn.com/mX6edMgqlx07C05aYWti0104120014uB0E010.mp4?label=mp4_hd&template=480x640.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1586158559&ssig=q6GUAVSzhX&KID=unistore,video",无,2020-03-26 14:26,无,15146,9770,8979
IztYIdjOR,分享图片 绿洲  原图 ,http://wx1.sinaimg.cn/large/5033b6dbly3gd0ejgsbefj216o1kwahf.jpg,无,无,2020-03-20 15:00,绿洲APP,21205,9465,9083
IyC7P7lHM,雪国梦幻静谧，热爱漫无边际，消弭着人和自然的距离。#漫游记# 与@钟汉良  @郭麒麟  一起踏上北欧之旅，追寻极光璀璨～  [组图共2张] 原图 ,"http://ww3.sinaimg.cn/large/5033b6dbly1gctsqg3hs0j20u01hce81.jpg,http://ww1.sinaimg.cn/large/5033b6dbly1gctsqh7lvkj20u01hc1ky.jpg",无,无,2020-03-14 21:54,无,22397,9274,9348
Iyzw2C2Ox,吃的多 就得撑每天一组平板支撑 马甲线秀出来  原图 ,http://wx4.sinaimg.cn/large/5033b6dbly1gcth41q7qnj21400u07aa.jpg,无,无,2020-03-14 15:15,HUAWEI Mate Xs 5G,60389,10926,14451
IysUqh3yE,#宅家美食日记#学做蛋挞 全记录太好吃了 绿洲  [组图共9张] 原图 ,"http://ww4.sinaimg.cn/large/5033b6dbly3gcso3oebq5j21kw1kwdt4.jpg,http://ww1.sinaimg.cn/large/5033b6dbly3gcso3otjikj21kw1kwaqi.jpg,http://ww1.sinaimg.cn/large/5033b6dbly3gcso3p4t2oj21kw1kwgz6.jpg,http://ww3.sinaimg.cn/large/5033b6dbly3gcso3pji12j21kw1kwdv1.jpg,http://ww2.sinaimg.cn/large/5033b6dbly3gcso3puzslj21kw1kw17v.jpg,http://ww3.sinaimg.cn/large/5033b6dbly3gcso3q7to2j21kw1kwal5.jpg,http://ww4.sinaimg.cn/large/5033b6dbly3gcso3qkf79j21kw1kwgwg.jpg,http://ww1.sinaimg.cn/large/5033b6dbly3gcso3qzlqxj21kw1kw17h.jpg,http://ww3.sinaimg.cn/large/5033b6dbly3gcso3rbjg9j212t12u438.jpg",无,无,2020-03-13 22:26,绿洲APP,21482,9199,9098
Iwak0alWl,#宅家美食日记#其实上一次我的南瓜羹是这样的 绿洲  [组图共2张] 原图 ,"http://ww4.sinaimg.cn/large/5033b6dbly3gcb6m2n4osj20ty0tzdjs.jpg,http://ww1.sinaimg.cn/large/5033b6dbly3gcb6m2svtaj20zk0zk0wz.jpg",无,无,2020-02-27 19:26,绿洲APP,164299,8458,25855
Iw9KOgF0B,#微博宅live# #宅家美食大赛# 跟我一起来挑战吧@佟丽娅 的一直播（下载App->http://t.cn/EhGWXEC）  ,无,无,无,2020-02-27 17:59,一直播Yi,16266,9318,36202
IvIhYcdnL,【让#爱不隔离#，白衣天使们加油】“白衣天使啊，有你在人们身旁，人们就不会迷茫，你就像那灿烂的阳光，照到哪里哪里亮堂”。公益歌曲《天使的阳光》在@中国青年报 @酷我音乐 正式上线，让我们一起用歌声致敬守护者——白衣天使，加油！@共青团中央  [组图共2张] 原图 ,"http://ww4.sinaimg.cn/large/5033b6dbly1gc7qtllbtsj20u016en1s.jpg,http://ww4.sinaimg.cn/large/5033b6dbly1gc7qtm3s39j21a71tcx6p.jpg",无,无,2020-02-24 20:04,无,69777,8342,11658
IvGAYvmII,#在家带娃大作战#Tony佟开始营业#二月二# 绿洲  原图 ,http://wx2.sinaimg.cn/large/5033b6dbly3gc7jdmz0svj20zk0zkn1r.jpg,无,无,2020-02-24 15:46,绿洲APP,32066,8362,10023
Ivwbzz8ui,#宅家美食日记#这一天天的 包子 饺子 煎锅贴 明天做啥啊～都把你们的菜谱贡献出来吧 绿洲  原图 ,http://wx3.sinaimg.cn/large/5033b6dbly3gc69f7mdh1j20q40q3wh6.jpg,无,无,2020-02-23 13:16,绿洲APP,22059,8320,17507
IuOo55Mzi,#电视剧完美关系##完美关系开播# 大家好，我是达琳传播新上任总裁，初来乍到，请大家多多关照@电视剧完美关系  原图 ,http://wx1.sinaimg.cn/large/5033b6dbly1gc0w09uh3uj20u01bnjxb.jpg,无,无,2020-02-18 21:45,无,189863,10673,28645
ItIRrn9Mj,#抗疫行动##2020好起来# 以平凡之躯与疫情作战，用钢铁意志与时间赛跑。所有一线的工作者们，你们辛苦了，感谢你们挺身而出，等待你们归来！加油！[加油] 佟丽娅的微博视频  ,无,"http://ad.us.sinaimg.cn/00085S2Ylx07AS85Dr3G010412002wZX0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586158562&ssig=T9tNIDKUtD&KID=unistore,video",无,2020-02-11 17:51,无,17472,8376,8717
IsjXi7vkT,20200202 希望大家都平平安安  原图 ,http://wx3.sinaimg.cn/large/5033b6dbly1gbhy9ajn6yj20tc134q70.jpg,无,无,2020-02-02 12:36,无,50990,9427,9352
IrVdL57PZ,那天 朵朵幼儿园搞庙会活动 小家伙用卖苹果挣来的钱 买了一箱小“钻石”一直等我11点下班 送给我 说 “我不知道妈妈喜欢什么 但是妈妈是女人 是女人就会喜欢钻石 妈妈给我买过很多礼物 我爱妈妈 我要和妈妈结婚…”孩子四岁了 很懂事 我很欣慰…生日快乐！  [组图共2张] 原图 ,"http://ww1.sinaimg.cn/large/5033b6dbly1gbezamrj9ej20tc0ss0wd.jpg,http://ww1.sinaimg.cn/large/5033b6dbly1gbezarjpwgj20tc0tcgpw.jpg",无,无,2020-01-30 21:38,无,91152,8578,10225
IrHefDujo,#抗击新型肺炎我们在行动# #全民口罩行动# 疫情面前，我们要保持好心态，重防护、勤消毒，减少出门和聚会，保护好自己和家人，一起共渡难关。同时，向一直奋斗在一线的医护人员致敬，你们辛苦了武汉加油，中国加油！[加油] 绿洲  原图 ,http://wx3.sinaimg.cn/large/5033b6dbly3gbd7b8jvecj20j50pj779.jpg,无,无,2020-01-29 10:01,绿洲APP,20110,11299,8711
Ir2sFzfn5,顺利结束！亲眼见证为这最终呈现的4个半小时，上千位台前幕后的工作人员昼夜打磨，全力以赴，特别是在全国人民关注的疫情中，能够为大家送去慰问和祝福，是一个自豪神圣的使命。过程中，几次热泪盈眶，才明白春晚给大家带来的除了欢庆，还有温暖与激励。武汉加油！我们一起加油！祝所有人新春快乐，健康平安！最后我要感谢一直帮助我的@任鲁豫 @尼格买提，第一次搭档的伙伴 @尹颂 @张舒越Spencer                  原图                             ,http://wx3.sinaimg.cn/large/5033b6dbly1gb871qdts4j274o4r44r3.jpg,无,无,2020-01-25 02:14,无,169463,10310,16268
IpzyJ4PD7,如果要选择一种颜色代表新年，我选择红色。它是炽热的情绪，是浪漫的抒张，也是不断蜕变的自我。让我爱的法国@LANCEL 红，为你们送上新年里的真挚祝愿！#Rouge Lancel# #Lancel# 佟丽娅同款Lancel兰姿LE HUIT水桶包法国小众单肩斜挎包真皮女包  [组图共4张] 原图 ,"http://ww4.sinaimg.cn/large/5033b6dbly1gax1zx7404j20u016f7hc.jpg,http://ww2.sinaimg.cn/large/5033b6dbly1gax1zxkg9dj20u016ftlo.jpg,http://ww1.sinaimg.cn/large/5033b6dbly1gax1zy71d1j20u016fk4h.jpg,http://ww1.sinaimg.cn/large/5033b6dbly1gax1zxvcgrj20u016fgy0.jpg",无,无,2020-01-15 10:49,无,50476,11792,12966
Ip2f1o3nX,明星动态  ,无,无,无,2020-01-11 22:00,明星动态,49544,8734,10031
IoAzTihfS,深夜放毒… 绿洲 佟丽娅的微博视频  ,无,"http://oasis.video.weibocdn.com/003HvIMilx07A0ho601i01041200cdwT0E012.mp4?label=mp4_hd&template=844x480.25.0&trans_finger=5ba176cf04fead39ba6dc923dca8adc5&Expires=1586158566&ssig=AJjGykXxGe&KID=unistore,video",无,2020-01-08 23:34,绿洲APP,17604,9097,8752
IozPGbXZF,为了好看的衣服饿一天…不管！我要去宵夜！ 绿洲  [组图共2张] 原图 ,"http://ww1.sinaimg.cn/large/5033b6dbly3gaphidk1sej20zk1bftkw.jpg,http://ww2.sinaimg.cn/large/5033b6dbly3gaphie3zfbj20wo17kgof.jpg",无,无,2020-01-08 21:40,绿洲APP,18404,9120,9037
InF3RiS53,2019#微博之夜#盛典即将开启，以微博之力，让世界更美。1月11日，不见不散@微博之夜  原图 ,http://wx3.sinaimg.cn/large/5033b6dbgy1gaiiut3m31j20ku112aot.jpg,无,无,2020-01-02 21:09,无,23147,9049,9119
